Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms
Elli,10/1/2019,Bandana Kid,Bandana Kid,3D Platformer,Rated E For Everyone,5.7,9,Nintendo Switch
Last Rebellion,23/2/2010,Hit Maker,NIS America,JRPG,Rated T For Teen,4.7,23,PlayStation 3
POST VOID,6/8/2020,YCJY Games,YCJY Games,FPS,Not Rated,7.9,28,PC
Nike+ Kinect Training,30/10/2012,"Nike, Inc.",Microsoft Game Studios,Sports,Rated E For Everyone,7.4,20,Xbox 360
Tube Slider,17/4/2003,Nd Cube,NEC Interchannel,Future Racing,Rated E For Everyone,7.7,6,GameCube
Rebuild,17/11/2011,Sarah Northway,Sarah Northway,Simulation,Not Rated,6.4,12,iOS (iPhone/iPad)
New Super Mario Bros. U Deluxe,11/1/2019,Nintendo,Nintendo,2D Platformer,Rated E For Everyone,7.1,437,Nintendo Switch
Mass Effect 3,6/3/2012,BioWare,Electronic Arts,Action RPG,Rated M For Mature,6.1,4019,PC
Earth Defense Force 2: Invaders From Planet Space,8/12/2015,Sandlot,XSEED Games,Third Person Shooter,Rated T For Teen,8.2,24,PlayStation Vita
Sonic Boom: Fire & Ice,27/9/2016,Sanzaru Games,Sega,2D Platformer,Rated E +10 For Everyone +10,7.2,169,3DS
Portal: Companion Collection,28/6/2022,Valve Software,Valve Software,Compilation,Not Rated,9.1,27,Nintendo Switch
Corruption 2029,17/2/2020,The Bearded Ladies Consulting,The Bearded Ladies Consulting,Turn-Based Strategy,Not Rated,6,65,PC
Code:Realize - Guardian of Rebirth,20/10/2015,Otomate,Aksys Games,Visual Novel,Rated T For Teen,8,53,PlayStation Vita
Super Street Fighter IV: Arcade Edition,28/6/2011,Capcom,Capcom,2D Fighting,Rated T For Teen,7.1,55,PlayStation 3
Guild of Dungeoneering,14/7/2015,Gambrinous,Versus Evil,Roguelike,Not Rated,5,62,PC
John Wick Hex,8/10/2019,Mike Bithell,Good Shepherd Entertainment,Turn-Based Tactics,Rated M For Mature,4.6,59,PC
Rock Band 2,14/9/2008,Harmonix Music Systems,MTV Games,Rhythm,Rated T For Teen,8,81,PlayStation 3
Tetris DS,20/3/2006,Nintendo,Nintendo,Stacking Puzzle,Rated E For Everyone,7.4,49,DS
Cleopatra: Riddle of the Tomb,31/3/2008,DreamCatcher Interactive,DreamCatcher Interactive,First-Person Adventure,Rated T For Teen,6.894852313,,PC
Automachef,23/7/2019,Hermes Interactive,Team17,Tycoon,Rated E For Everyone,6.8,6,PC
Last Encounter,21/2/2020,Exordium Games,Exordium Games,Top-Down Shoot-'Em-Up,Rated E +10 For Everyone +10,6.894852313,,PC
X3: Terran Conflict,16/10/2008,Egosoft,Atari SA,Space Combat Sim,Rated T For Teen,7.9,154,PC
Tony Hawk's Motion,18/11/2008,Creat Studios,Activision,Skating,Rated E For Everyone,6.894852313,,DS
Frogger 2,11/6/2008,"Voltex, Inc.",Konami,Action,Rated E For Everyone,6.7,7,Xbox 360
The Way,19/5/2016,Puzzling Dream,PlayWay,2D Platformer,Not Rated,7.2,25,PC
Tecmo Bowl Throwback,28/4/2010,Southend Interactive,Tecmo,Football,Rated E For Everyone,8.3,,iOS (iPhone/iPad)
Etolis: Arena,3/2/2011,Chillingo,Chillingo,Action,Not Rated,6.894852313,,iOS (iPhone/iPad)
Battle Brothers,27/4/2015,Overhype Studios,Overhype Studios,Turn-Based Tactics,Not Rated,8,141,PC
Earthworm Jim HD,9/6/2010,Gameloft,Gameloft,2D Platformer,Rated E +10 For Everyone +10,7.5,17,Xbox 360
Mytran Wars,26/10/2009,Stormregion,Deep Silver,Turn-Based Strategy,Rated T For Teen,8.3,10,PSP
Marvel's Spider-Man Remastered,12/8/2022,Nixxes Software,PlayStation PC,Open-World Action,Rated T For Teen,8.5,1190,PC
Polara,11/10/2012,Hope This Works Games Inc.,Hope This Works Games Inc.,2D Platformer,Not Rated,6.894852313,,iOS (iPhone/iPad)
Hack 'n' Slash,9/9/2014,Double Fine Productions,Double Fine Productions,2D Platformer,Rated E For Everyone,5.2,41,PC
Disaster: Day of Crisis,25/9/2008,Monolith Soft,Nintendo,Action,Not Rated,6.894852313,,Wii
Omen of Sorrow,6/11/2018,AOne Games,AOne Games,2D Fighting,Rated T For Teen,5,70,PlayStation 4
Decarnation,31/5/2023,Atelier QDB,Shiro Games,Survival,Rated T For Teen,6.894852313,,PC
The Saboteur,8/12/2009,Pandemic Studios,Electronic Arts,Open-World Action,Rated M For Mature,8,111,Xbox 360
Broken Sword: The Smoking Mirror - Remastered,16/12/2010,Revolution Software,Revolution Software,Point-and-Click,Not Rated,6.4,9,iOS (iPhone/iPad)
Missile Command (1980),4/7/2007,Stainless Games,Atari SA,Light Gun,Rated E For Everyone,6.894852313,,Xbox 360
Warhammer: Battle March,2/9/2008,Black Hole Games,Namco Bandai Games,Real-Time Strategy,Rated M For Mature,6.5,10,Xbox 360
Tilt to Live 2: Redonkulous,13/11/2013,,,Action,Not Rated,6.894852313,,iOS (iPhone/iPad)
Darksiders II,14/8/2012,Vigil Games,THQ,Open-World Action,Rated M For Mature,8.3,584,PlayStation 3
The Witcher 3: Wild Hunt - Hearts of Stone,13/10/2015,CD Projekt Red Studio,CD Projekt,Action RPG,Rated M For Mature,9.1,3434,Xbox One
Mr. Crab,11/4/2013,,,Action,Not Rated,6.894852313,,iOS (iPhone/iPad)
Card Shark,2/6/2022,Nerial,Devolver Digital,Adventure,Rated E +10 For Everyone +10,7.6,25,Nintendo Switch
Frequency,19/11/2001,Harmonix Music Systems,SCEA,Rhythm,Rated E For Everyone,6.6,9,PlayStation 2
LEGO Marvel's Avengers,26/1/2016,TT Games,Warner Bros. Interactive Entertainment,Action Adventure,Rated E +10 For Everyone +10,7.2,184,Xbox One
That's You!,4/7/2017,Wish Studios,Wish Studios,Party,Rated T For Teen,7.2,52,PlayStation 4
Mittens,4/4/2013,,,Action,Not Rated,6.894852313,,iOS (iPhone/iPad)
Battle Princess of Arcadias,17/6/2014,ApolloSoft,NIS America,Action RPG,Rated T For Teen,8,25,PlayStation 3
Spirit of the North,7/5/2020,Infuse Studio,Merge Games,Third-Person Adventure,Rated E For Everyone,6.7,28,PlayStation 4
Stray,19/7/2022,BlueTwelve Studio,Annapurna Interactive,Action Adventure,Rated E +10 For Everyone +10,8.4,2305,PlayStation 5
Anarchy Online: Alien Invasion,31/8/2004,Funcom,Funcom,MMORPG,Rated T For Teen,7.6,12,PC
Nioh: Dragon of the North,2/5/2017,Team Ninja,Koei Tecmo Games,Action RPG,Rated M For Mature,8,98,PlayStation 4
Lies of P,19/9/2023,Round 8 Studio of NEOWIZ,Neowiz,Action Adventure,Not Rated,8.2,1477,PlayStation 5
Earth Defense Force 5,11/12/2018,Sandlot,D3Publisher,Third Person Shooter,Rated T For Teen,7.5,43,PlayStation 4
Pokemon Mystery Dungeon: Gates to Infinity,24/3/2013,Spike Chunsoft,Nintendo,Roguelike,Rated E For Everyone,6.3,191,3DS
R-Type,23/8/2010,DotEmu,Electronic Arts,Horizontal Shoot-'Em-Up,Not Rated,6.894852313,,iOS (iPhone/iPad)
Break 'Em All,20/6/2006,Warashi,D3Publisher,Arcade,Rated E For Everyone,6.894852313,,DS
Oblitus,27/2/2015,Connor Ullmann,Adult Swim,2D Platformer,Not Rated,6.9,14,PC
Ace Attorney Investigations: Miles Edgeworth,16/2/2010,Capcom,Capcom,Visual Novel,Rated T For Teen,8,109,DS
Octopath Traveler II,24/2/2023,Acquire,Square Enix,JRPG,Rated T For Teen,8.6,248,Nintendo Switch
Wraith: The Oblivion - Afterlife,22/4/2021,Fast Travel Games,Fast Travel Games,Survival,Not Rated,7.8,13,PC
Dirt Track Racing: Sprint Cars,19/10/2000,Ratbag,WizardWorks,Auto Racing Sim,Rated E For Everyone,3,,PC
The Legend of Heroes: Trails of Cold Steel III,22/10/2019,Falcom,NIS America,JRPG,Rated T For Teen,8.7,215,PlayStation 4
Disney's Chicken Little: Ace in Action,9/11/2006,DC Studios,Buena Vista Games,Third Person Shooter,Rated E For Everyone,6.894852313,,PlayStation 2
Mario Kart 64,10/2/1997,Nintendo,Nintendo,Auto Racing,Not Rated,8.5,516,Nintendo 64
Judge Dredd: Countdown Sector 106,1/8/2012,Tin Man Games,Tin Man Games,Board,Not Rated,6.894852313,,iOS (iPhone/iPad)
The Dark Spire,14/4/2009,Success,Atlus,Western RPG,Rated E +10 For Everyone +10,8.1,9,DS
Aokana - Four Rhythms Across the Blue,21/8/2020,Sprite,PQube,Visual Novel,Rated M For Mature,8.1,10,Nintendo Switch
Viva Pinata,9/11/2006,Rare Ltd.,Microsoft Game Studios,Virtual Life,Rated E For Everyone,7.9,112,PC
Xenosaga Episode II: Jenseits von Gut und Bose,15/2/2005,Monolith Soft,Namco,JRPG,Rated T For Teen,7.4,74,PlayStation 2
Jewel Quest,3/3/2006,iWin,Microsoft Game Studios,Matching Puzzle,Rated E For Everyone,7.8,,Xbox 360
inFamous: First Light,26/8/2014,Sucker Punch,SCEA,Open-World Action,Rated T For Teen,7.4,937,PlayStation 4
Ash (2010),19/7/2010,SRRN Games,SRRN Games,JRPG,Not Rated,6.894852313,,iOS (iPhone/iPad)
Land of the Vikings,9/10/2023,Laps Games,Iceberg Interactive,Management,Not Rated,6.894852313,,PC
Corvette,9/3/2004,Steel Monkeys,Global Star Software,Auto Racing Sim,Rated E For Everyone,5.6,8,Xbox
Pinball FX 2: Star Wars Pinball,27/2/2013,Zen Studios,Microsoft Game Studios,Pinball,Rated E For Everyone,6.5,44,Xbox 360
Ecco the Dolphin: Defender of the Future,10/9/2000,Appaloosa Interactive,Sega,Action Adventure,Rated E For Everyone,8.3,19,Dreamcast
Men of War,16/3/2009,Best Way,Aspyr,Real-Time Tactics,Rated M For Mature,8.1,124,PC
Cozy Grove,8/4/2021,Spry Fox,The Quantum Astrophysicists Guild,Virtual Life,Rated E +10 For Everyone +10,7,25,PC
Army Corps of Hell,21/2/2012,"Entersphere, Inc.",Square Enix,Real-Time Strategy,Rated M For Mature,6.6,29,PlayStation Vita
Where the Water Tastes Like Wine,28/2/2018,Dim Bulb Games,Dim Bulb Games,Adventure,Not Rated,5.3,37,PC
Real War: Rogue States,1/10/2002,Rival Interactive,Simon & Schuster,Real-Time Strategy,Rated T For Teen,6,6,PC
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!,13/11/2012,WayForward,D3Publisher,Open-World Action,Rated E +10 For Everyone +10,7.2,67,DS
Grapple Dog,10/2/2022,Joseph Gribbin,Super Rare Games,2D Platformer,Rated E For Everyone,7,6,PC
The Grinch,10/11/2000,Artificial Mind and Movement,Konami,3D Platformer,Rated E For Everyone,4.8,,PC
The Chronicles of Narnia: Prince Caspian,15/5/2008,Traveller's Tales,Disney Interactive Studios,Action Adventure,Rated T For Teen,6.894852313,,DS
Romance of the Three Kingdoms IX,24/2/2004,Koei,Koei,Turn-Based Strategy,Rated E For Everyone,7.6,7,PlayStation 2
We Cheer,30/9/2008,"Machatin, Inc.",Namco Bandai Games,Dancing,Rated E +10 For Everyone +10,6.894852313,,Wii
Tumblestone,16/7/2016,Ty Taylor and Mario Castaneda,The Quantum Astrophysicists Guild,Stacking Puzzle,Rated E For Everyone,6,6,PC
Brave Fencer Musashi,12/11/1998,SquareSoft,Square EA,Action RPG,Rated E For Everyone,8.3,36,PlayStation
Ape Escape 2,30/6/2003,SCE Japan Studio,Ubisoft,3D Platformer,Rated E For Everyone,8.6,43,PlayStation 2
The Terminator: Dawn of Fate,18/9/2002,Paradigm Entertainment,Atari SA,FPS,Rated T For Teen,6.894852313,,PlayStation 2
Under Siege (2011),2/6/2011,"Seed Studios, Lda","Seed Studios, Lda",Real-Time Strategy,Rated E +10 For Everyone +10,7.1,34,PlayStation 3
Toy Soldiers: War Chest,11/8/2015,Krome Studios,Ubisoft,Strategy,Rated T For Teen,7.1,66,Xbox One
R-Type Final,3/2/2004,Irem,Eidos Interactive,Horizontal Shoot-'Em-Up,Rated E For Everyone,8.1,26,PlayStation 2
Pocket Rumble,5/7/2018,Cardboard Robot Games,Chucklefish,2D Fighting,Rated T For Teen,7.5,17,Nintendo Switch
Neptunia x Senran Kagura: Ninja Wars,19/4/2022,Tamsoft,Idea Factory,Action RPG,Rated T For Teen,8,8,PlayStation 4
Hitman: Sniper Challenge,15/5/2012,Io Interactive,Square Enix,Action Adventure,Rated M For Mature,7.5,21,PlayStation 3
The Getaway,21/1/2003,Team Soho,SCEA,Action Adventure,Rated M For Mature,7.6,67,PlayStation 2
PONCHO,3/11/2015,Delve Interactive,Rising Star Games,2D Platformer,Rated E For Everyone,3.6,7,PC
Rise of the Triad: Ludicrous Edition,31/7/2023,Night Dive Studios,Apogee Entertainment,FPS,Not Rated,6.894852313,,PlayStation 4
AI War: Fleet Command,14/5/2009,"Arcen Games, LLC","Arcen Games, LLC",Real-Time Strategy,Not Rated,7.5,80,PC
Record of Lodoss War: Deedlit in Wonder Labyrinth,27/3/2021,WSS Playground,Playism,Metroidvania,Rated E +10 For Everyone +10,7.7,10,PC
The Unfinished Swan,23/10/2012,Giant Sparrow,SCEA,First-Person Adventure,Rated E +10 For Everyone +10,8.1,125,PlayStation 3
Yu-Gi-Oh! Capsule Monster Coliseum,26/10/2004,WinkySoft,Konami,Card Battle,Rated E For Everyone,8.5,32,PlayStation 2
Shiren the Wanderer,9/2/2010,ChunSoft,Atlus,Roguelike,Rated T For Teen,6.894852313,,Wii
Factorio,14/8/2020,Wube Software LTD.,Wube Software LTD.,Tycoon,Not Rated,8.8,706,PC
WRC 3: FIA World Rally Championship,26/3/2013,Milestone S.r.l,Namco Bandai Games,Auto Racing Sim,Rated E For Everyone,6.3,19,PC
Track & Field,8/8/2007,Digital Eclipse,Konami,Athletics,Rated E For Everyone,6.894852313,,Nintendo Switch
"Carnival Games: Monkey See, Monkey Do!",5/4/2011,Take-Two Interactive,Take-Two Interactive,Party,Rated E For Everyone,5.9,7,Xbox 360
Tiger Woods PGA Tour 11,8/6/2010,EA Sports,Electronic Arts,Golf Sim,Rated E For Everyone,7.5,11,PlayStation 3
Ghost Master (2003),26/8/2003,Sick Puppies,Empire Interactive,Real-Time Strategy,Rated T For Teen,8,92,PC
Scribblenauts Unmasked: A DC Comics Adventure,24/9/2013,5TH Cell,Warner Bros. Interactive Entertainment,Action Puzzle,Rated E +10 For Everyone +10,6.6,47,3DS
Knuckle Sandwich,22/11/2023,Andrew Brophy,Andrew Brophy,RPG,Not Rated,6.894852313,,PC
Hot Shots Golf: Open Tee,3/5/2005,Clap Hanz,SCEA,Golf,Rated E +10 For Everyone +10,5.4,11,PSP
LocoRoco 2,10/2/2009,SCE Japan Studio,SCEA,2D Platformer,Rated E For Everyone,8.8,58,PSP
Dreams,14/2/2020,Media Molecule,Sony Interactive Entertainment,Sandbox,Rated T For Teen,8.7,1440,PlayStation 4
Axis & Allies,2/11/2004,TimeGate Studios,Atari SA,Real-Time Strategy,Rated T For Teen,8,18,PC
World of Outlaws: Sprint Cars 2002,4/4/2002,Ratbag,Infogrames,Auto Racing Sim,Rated E For Everyone,6.894852313,,PC
Warriors Orochi 2,23/9/2008,Omega Force,Koei,3D Beat-'Em-Up,Rated T For Teen,8.2,12,PlayStation 2
Buzz! The Hollywood Quiz,11/3/2008,Relentless Software,SCEA,Trivia,Rated T For Teen,6.5,,PlayStation 2
Summer Sports: Paradise Island,15/4/2008,Destineer,Destineer,Athletics,Rated E For Everyone,6.894852313,,Wii
The Binding of Isaac: Rebirth,4/11/2014,Nicalis,Nicalis,Top-Down Shoot-'Em-Up,Rated M For Mature,7.9,639,PC
Wallace & Gromit: The Curse of the Were-Rabbit,29/9/2005,Frontier Developments,Konami,Action Adventure,Rated E For Everyone,3.2,31,PlayStation 2
Street Fighter II' Hyper Fighting,2/8/2006,Sensory Sweep,Capcom,2D Fighting,Rated T For Teen,6.2,13,Xbox 360
The Sims: Superstar,12/5/2003,Maxis,EA Games,Virtual Life,Rated T For Teen,7.2,21,PC
Kickin Momma,4/8/2011,Hothead Games Inc.,Hothead Games Inc.,Action,Not Rated,6.894852313,,iOS (iPhone/iPad)
AnaCapri: The Dream,12/9/2007,S&G Software,Got Game Entertainment,Point-and-Click,Rated E +10 For Everyone +10,6.894852313,,PC
Gears of War 3: RAAM's Shadow,13/12/2011,Epic Games,Microsoft Game Studios,Third Person Shooter,Rated M For Mature,8,66,Xbox 360
WWE 2K19,5/10/2018,Yuke's,2K Games,Wrestling,Rated T For Teen,6.4,180,PlayStation 4
Zack Zero,17/1/2012,Crocodile Entertainment,Crocodile Entertainment,2D Platformer,Rated E For Everyone,7.7,19,PlayStation 3
Star Trek: Voyager Elite Force,20/9/2000,Raven Software,Activision,FPS,Rated T For Teen,8,81,PlayStation 2
AIRHEART,24/7/2018,Blindflug Studios,Blindflug Studios,Top-Down Shoot-'Em-Up,Rated E +10 For Everyone +10,5.8,16,PC
Pillar,17/2/2015,MichaelArts,MichaelArts,Action Puzzle,Rated T For Teen,6.6,8,PlayStation 4
Lost Kingdoms,27/5/2002,From Software,Activision,JRPG,Rated T For Teen,8.2,14,GameCube
Tom Clancy's HAWX 2,7/9/2010,Ubisoft,Ubisoft,Aircraft Combat Sim,Rated T For Teen,6.5,32,Xbox 360
Osman,13/4/2023,Mitchell,ININ Games,2D Platformer,Rated T For Teen,6.894852313,,Nintendo Switch
The Bard's Tale IV: Barrows Deep,18/9/2018,InXile Entertainment,InXile Entertainment,Western RPG,Not Rated,6.5,102,PC
Section 8: Prejudice,20/4/2011,TimeGate Studios,TimeGate Studios,FPS,Rated T For Teen,7.7,65,PC
Football Manager 2011,4/11/2010,Sports Interactive,Sega,Soccer Management,Rated E For Everyone,8.3,97,PC
Tesla Force,24/11/2020,10tons,10tons,Top-Down Shoot-'Em-Up,Rated T For Teen,6.894852313,,PC
Fast Striker,16/10/2018,NG:DEV.TEAM,EastAsiaSoft,Vertical Shoot-'Em-Up,Rated E For Everyone,6.894852313,,PlayStation 4
Portal 2,19/4/2011,Valve Software,Valve Software,FPS,Rated E +10 For Everyone +10,8.9,1765,PC
Bubsy: The Woolies Strike Back,31/10/2017,Black Forest Games,UFO Interactive,2D Platformer,Rated E For Everyone,5.8,142,PC
Unreal Tournament III,7/7/2008,Epic Games,Midway,FPS,Rated M For Mature,6.6,17,PC
Gangs of Sherwood,30/11/2023,Appeal Studios,Nacon,Action Adventure,Rated T For Teen,5.2,5,PC
A Little Golf Journey,14/10/2021,Okidokico,Playtonic Friends,Golf,Rated E For Everyone,7.8,,Nintendo Switch
MLB 11: The Show,8/3/2011,SCEA San Diego Studios,SCEA,Baseball Sim,Rated E For Everyone,7.8,89,PlayStation 3
SkateBIRD,16/9/2021,Glass Bottom Games,Glass Bottom Games,Skating,Rated T For Teen,2.9,8,PC
Yo-kai Watch 2: Bony Spirits,30/9/2016,Level 5,Nintendo,Trainer RPG,Rated E +10 For Everyone +10,8,77,3DS
Omensight,15/5/2018,Spearhead Games,Spearhead Games,First-Person Adventure,Rated T For Teen,8,42,PC
The Legend of Korra,21/10/2014,PlatinumGames,Activision,Linear Action Adventure,Rated T For Teen,6.6,117,PlayStation 4
SpeedRunners,19/4/2016,DoubleDutch Games,tinyBuild,2D Platformer,Not Rated,7.6,120,PC
Let's Sing Queen,2/10/2020,Ravenscourt,Deep Silver,Rhythm,Rated T For Teen,6.894852313,,Nintendo Switch
Final Fantasy XIII-2,31/1/2012,Square Enix,Square Enix,JRPG,Rated T For Teen,6.8,863,Xbox 360
Crash Nitro Kart,11/11/2003,Vicarious Visions,Universal Interactive,Auto Racing,Rated E For Everyone,7.9,130,PlayStation 2
Super Dodgeball Brawlers,27/5/2008,Million,Aksys Games,Team Sports,Rated E For Everyone,6.894852313,,DS
Star Ocean: The Last Hope - 4K & Full HD Remaster,28/11/2017,Tri-Ace,Square Enix,Action RPG,Rated T For Teen,7,49,PlayStation 4
Assassin's Creed: Bloodlines,17/11/2009,Griptonite Games,Ubisoft,Open-World Action,Rated M For Mature,6.9,139,PSP
Overwhelm,4/4/2019,Ruari O'Sullivan,Alliance,Open-World Action,Rated E +10 For Everyone +10,5.7,6,PC
Sports Champions,7/9/2010,Zindagi Games,SCEA,Athletics,Rated E +10 For Everyone +10,7.8,126,PlayStation 3
Full Auto,14/2/2006,Pseudo Interactive,Sega,Vehicle Combat Sim,Rated T For Teen,7.5,13,Xbox 360
Time Recoil,26/10/2017,10tons,10tons,Top-Down Shoot-'Em-Up,Rated T For Teen,7.8,,PC
AeternoBlade II,11/10/2019,Corecell Technology,Corecell Technology,Action Adventure,Rated T For Teen,4.2,18,Xbox One
South Park: The Stick of Truth,4/3/2014,Obsidian Entertainment,Ubisoft,RPG,Rated M For Mature,8.6,2393,PlayStation 3
Soul Edge,,Namco,Namco,3D Fighting,Rated T For Teen,6.894852313,,PlayStation
The Sims: Unleashed,23/9/2002,Maxis,EA Games,Virtual Life,Rated T For Teen,6.8,23,PC
ShootMania Storm,10/4/2013,Nadeo,Ubisoft,FPS,Not Rated,7.3,78,PC
Nanostray 2,11/3/2008,Shin'en,Majesco,Vertical Shoot-'Em-Up,Rated E For Everyone,7.4,5,DS
Shrek: Reekin' Havoc,30/7/2003,TOSE,TDK Mediactive,2D Platformer,Rated E For Everyone,6.894852313,,Game Boy Advance
Gomo,6/12/2013,Fishcow Studio,Daedalic Entertainment,Point-and-Click,Not Rated,4.8,33,PC
The Elder Scrolls Online: Blackwood,1/6/2021,ZeniMax Media,Bethesda Softworks,MMORPG,Rated M For Mature,4.4,22,PlayStation 4
Disciples: Liberation,21/10/2021,Frima Studio,Kalypso,Turn-Based Strategy,Rated M For Mature,4.6,85,PC
Scrap Garden,6/5/2016,Egidijus Bachur,Flazm,Action Puzzle,Not Rated,6.9,8,PC
Rengoku II: The Stairway to H.E.A.V.E.N.,12/9/2006,Hudson Soft,Konami,Action Adventure,Rated T For Teen,7,6,PSP
Do Not Feed the Monkeys,1/6/2020,Alawar Premium,Alawar Premium,Simulation,Rated E For Everyone,9,5,PC
Kingdom Rush Frontiers,6/6/2013,Ironhide S.A.,Ironhide Game Studio,Defense,Not Rated,8.2,51,iOS (iPhone/iPad)
Teenage Mutant Ninja Turtles (2003),21/10/2003,KCE Studios,Konami,3D Beat-'Em-Up,Rated E For Everyone,6.9,27,PlayStation 2
Axel & Pixel,14/10/2009,Silver Wish Games,2K Play,Adventure,Rated E For Everyone,6.2,6,Xbox 360
Northland,24/3/2004,Funatics,GMX Media,Real-Time Strategy,Rated T For Teen,8.5,17,PC
Quantum Redshift,16/9/2002,Curly Monsters,Microsoft Game Studios,Future Racing,Rated T For Teen,7.7,10,Xbox
Onimusha Tactics,11/11/2003,Capcom,Capcom,Turn-Based Tactics,Rated T For Teen,7.7,10,Game Boy Advance
Splashdown: Rides Gone Wild,5/8/2003,Rainbow Studios,THQ,Arcade Racing,Rated E For Everyone,6.2,10,PlayStation 2
The Elder Scrolls III: Morrowind,6/6/2002,Bethesda Softworks,Bethesda Softworks,Western RPG,Rated T For Teen,8.5,151,PC
The Guest (2016),10/3/2016,Team Gotham,505 Games,First-Person Adventure,Rated M For Mature,6.8,30,PC
Phantom Doctrine,14/8/2018,CreativeForge Games,Good Shepherd Entertainment,Turn-Based Strategy,Rated M For Mature,7.4,128,PC
Victoria II,13/8/2010,Paradox Development Studio,Paradox Interactive,Real-Time Strategy,Rated T For Teen,8.3,231,PC
De Mambo,13/7/2017,The Dangerous Kitchen,Chorus Worldwide,2D Platformer,Rated E For Everyone,6.7,10,Nintendo Switch
Jak and Daxter: The Precursor Legacy,4/12/2001,Naughty Dog,SCEA,3D Platformer,Rated E For Everyone,8.9,608,PlayStation 2
Crysis Remastered Trilogy,15/10/2021,Crytek,Crytek,Compilation,Rated M For Mature,8.4,71,Nintendo Switch
Resonance (2012),19/6/2012,xii games,Wadjet Eye Games,Point-and-Click,Not Rated,7.7,112,PC
Dead or Alive 6,1/3/2019,Team Ninja,Koei Tecmo Games,3D Fighting,Rated M For Mature,8,786,PlayStation 4
Seasons After Fall,2/9/2016,Swing Swing Submarine,Focus Home Interactive,Metroidvania,Not Rated,7,42,PC
Uncharted: The Lost Legacy,22/8/2017,Naughty Dog,Sony Interactive Entertainment,Action Adventure,Rated T For Teen,8,2533,PlayStation 4
Starpoint Gemini,15/12/2010,Little Green Men,Little Green Men,Real-Time Strategy,Not Rated,8.4,71,PC
Steel Diver,27/3/2011,Nintendo,Nintendo,Marine Combat Sim,Rated E +10 For Everyone +10,6.2,35,3DS
Metal Gear Online,12/6/2008,Kojima Productions,Konami,Action Adventure,Rated M For Mature,8.4,29,PlayStation 3
Dwarf Fortress,8/8/2006,Bay 12 Games,Bay 12 Games,Management,Not Rated,8.5,254,PC
Ape Escape,23/6/1999,SCE Japan Studio,SCEA,3D Platformer,Rated E For Everyone,8.5,116,PlayStation
All-Star Baseball 2003,25/2/2002,Acclaim Studios Austin,Acclaim,Baseball Sim,Rated E For Everyone,7.3,,PlayStation 2
Ghost Trick: Phantom Detective,11/1/2011,Capcom,Capcom,Adventure,Rated T For Teen,9.6,1695,iOS (iPhone/iPad)
Asphalt 8: Airborne,22/8/2013,Gameloft,Gameloft,Auto Racing,Not Rated,7.5,179,iOS (iPhone/iPad)
God of War (2005),22/3/2005,SCE Santa Monica,SCEA,Linear Action Adventure,Rated M For Mature,8.9,2472,PlayStation 2
"Warhammer 40,000: Kill Team",13/7/2011,THQ Warrington,THQ,Third Person Shooter,Rated T For Teen,7,35,PlayStation 3
Age of Empires III: The WarChiefs,17/10/2006,Ensemble Studios,Microsoft Game Studios,Command RTS,Rated T For Teen,7.9,89,PC
Quantum Break,5/4/2016,Remedy Entertainment,Microsoft Game Studios,Action,Rated M For Mature,7.3,2315,Xbox One
Pangya Fantasy Golf,23/6/2009,Ntreev Soft,Tomy Corporation,Golf,Rated E +10 For Everyone +10,6.9,17,PSP
Shenmue III,19/11/2019,Ys Net,Deep Silver,Open-World Action,Rated T For Teen,7.7,1119,PlayStation 4
Utawarerumono: Mask of Truth,5/9/2017,Aqua Plus,Aqua Plus,Turn-Based Strategy,Rated M For Mature,8.9,63,PlayStation 4
Blitz: The League II,13/10/2008,Midway,Midway,Football,Rated M For Mature,8.6,12,PlayStation 3
Tadpole Treble Encore,21/1/2021,BitFinity,BitFinity,Rhythm,Rated E For Everyone,7.8,6,Nintendo Switch
Dance Dance Revolution Universe,27/2/2007,Konami,Konami,Dancing,Rated E +10 For Everyone +10,6.894852313,,Xbox 360
League of Legends,27/10/2009,Riot Games,Riot Games,MOBA,Rated T For Teen,4.8,4869,PC
Gangstar Vegas,7/6/2013,,,Action,Not Rated,6.7,20,iOS (iPhone/iPad)
Star Wars Battlefront: Renegade Squadron,9/10/2007,Rebellion,LucasArts,Third Person Shooter,Rated T For Teen,8.3,67,PSP
The Talos Principle: Deluxe Edition,13/10/2015,Croteam,Nighthawk Interactive,First-Person Adventure,Rated T For Teen,8.3,277,PlayStation 4
Splatoon,29/5/2015,Nintendo,Nintendo,Third Person Shooter,Rated E +10 For Everyone +10,8.7,1446,Wii U
F1 2002,11/6/2002,EA Sports,EA Sports,Auto Racing Sim,Rated E For Everyone,7.4,37,GameCube
The Sims: Vacation,25/3/2002,Maxis,EA Games,Virtual Life,Rated T For Teen,7.7,23,PC
Implosion - Never Lose Hope,6/7/2017,Rayark Inc.,Flyhigh Works,Top-Down Shoot-'Em-Up,Rated T For Teen,7.9,42,iOS (iPhone/iPad)
2K DRIVE,5/9/2013,2K Sports,2K Sports,Auto Racing Sim,Not Rated,6.894852313,,iOS (iPhone/iPad)
Gish,17/9/2004,Chronic Logic,GarageGames,2D Platformer,Rated T For Teen,6.3,45,PC
